data has 418352 characters, 256 unique.
number of parameters: 3323392
data has 418351 characters, 256 unique.

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 1 iter 0: train loss 5.58289. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 1 iter 0: train loss 5.58289. lr 6.000000e-03:   4%|▍         | 1/23 [00:00<00:10,  2.08it/s]
epoch 1 iter 1: train loss 4.71601. lr 5.999999e-03:   4%|▍         | 1/23 [00:00<00:10,  2.08it/s]
epoch 1 iter 1: train loss 4.71601. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:05,  3.74it/s]
epoch 1 iter 2: train loss 3.50442. lr 5.999996e-03:   9%|▊         | 2/23 [00:00<00:05,  3.74it/s]
epoch 1 iter 2: train loss 3.50442. lr 5.999996e-03:  13%|█▎        | 3/23 [00:00<00:03,  5.13it/s]
epoch 1 iter 3: train loss 3.61030. lr 5.999992e-03:  13%|█▎        | 3/23 [00:00<00:03,  5.13it/s]
epoch 1 iter 3: train loss 3.61030. lr 5.999992e-03:  17%|█▋        | 4/23 [00:00<00:03,  6.08it/s]
epoch 1 iter 4: train loss 3.53918. lr 5.999987e-03:  17%|█▋        | 4/23 [00:00<00:03,  6.08it/s]
epoch 1 iter 4: train loss 3.53918. lr 5.999987e-03:  22%|██▏       | 5/23 [00:00<00:02,  6.81it/s]
epoch 1 iter 5: train loss 3.47400. lr 5.999980e-03:  22%|██▏       | 5/23 [00:01<00:02,  6.81it/s]
epoch 1 iter 5: train loss 3.47400. lr 5.999980e-03:  26%|██▌       | 6/23 [00:01<00:02,  7.34it/s]
epoch 1 iter 6: train loss 3.44780. lr 5.999972e-03:  26%|██▌       | 6/23 [00:01<00:02,  7.34it/s]
epoch 1 iter 6: train loss 3.44780. lr 5.999972e-03:  30%|███       | 7/23 [00:01<00:02,  7.82it/s]
epoch 1 iter 7: train loss 3.41874. lr 5.999962e-03:  30%|███       | 7/23 [00:01<00:02,  7.82it/s]
epoch 1 iter 7: train loss 3.41874. lr 5.999962e-03:  35%|███▍      | 8/23 [00:01<00:01,  8.17it/s]
epoch 1 iter 8: train loss 3.41121. lr 5.999952e-03:  35%|███▍      | 8/23 [00:01<00:01,  8.17it/s]
epoch 1 iter 8: train loss 3.41121. lr 5.999952e-03:  39%|███▉      | 9/23 [00:01<00:01,  8.29it/s]
epoch 1 iter 9: train loss 3.39818. lr 5.999939e-03:  39%|███▉      | 9/23 [00:01<00:01,  8.29it/s]
epoch 1 iter 9: train loss 3.39818. lr 5.999939e-03:  43%|████▎     | 10/23 [00:01<00:01,  8.37it/s]
epoch 1 iter 10: train loss 3.41189. lr 5.999926e-03:  43%|████▎     | 10/23 [00:01<00:01,  8.37it/s]
epoch 1 iter 10: train loss 3.41189. lr 5.999926e-03:  48%|████▊     | 11/23 [00:01<00:01,  8.44it/s]
epoch 1 iter 11: train loss 3.40962. lr 5.999911e-03:  48%|████▊     | 11/23 [00:01<00:01,  8.44it/s]
epoch 1 iter 11: train loss 3.40962. lr 5.999911e-03:  52%|█████▏    | 12/23 [00:01<00:01,  8.47it/s]
epoch 1 iter 12: train loss 3.41926. lr 5.999894e-03:  52%|█████▏    | 12/23 [00:01<00:01,  8.47it/s]
epoch 1 iter 12: train loss 3.41926. lr 5.999894e-03:  57%|█████▋    | 13/23 [00:01<00:01,  8.60it/s]
epoch 1 iter 13: train loss 3.39404. lr 5.999876e-03:  57%|█████▋    | 13/23 [00:01<00:01,  8.60it/s]
epoch 1 iter 13: train loss 3.39404. lr 5.999876e-03:  61%|██████    | 14/23 [00:01<00:01,  8.73it/s]
epoch 1 iter 14: train loss 3.37488. lr 5.999857e-03:  61%|██████    | 14/23 [00:02<00:01,  8.73it/s]
epoch 1 iter 14: train loss 3.37488. lr 5.999857e-03:  65%|██████▌   | 15/23 [00:02<00:00,  8.81it/s]
epoch 1 iter 15: train loss 3.35159. lr 5.999837e-03:  65%|██████▌   | 15/23 [00:02<00:00,  8.81it/s]
epoch 1 iter 15: train loss 3.35159. lr 5.999837e-03:  70%|██████▉   | 16/23 [00:02<00:00,  8.76it/s]
epoch 1 iter 16: train loss 3.38875. lr 5.999815e-03:  70%|██████▉   | 16/23 [00:02<00:00,  8.76it/s]
epoch 1 iter 16: train loss 3.38875. lr 5.999815e-03:  74%|███████▍  | 17/23 [00:02<00:00,  8.72it/s]
epoch 1 iter 17: train loss 3.35616. lr 5.999791e-03:  74%|███████▍  | 17/23 [00:02<00:00,  8.72it/s]
epoch 1 iter 17: train loss 3.35616. lr 5.999791e-03:  78%|███████▊  | 18/23 [00:02<00:00,  8.70it/s]
epoch 1 iter 18: train loss 3.43542. lr 5.999767e-03:  78%|███████▊  | 18/23 [00:02<00:00,  8.70it/s]
epoch 1 iter 18: train loss 3.43542. lr 5.999767e-03:  83%|████████▎ | 19/23 [00:02<00:00,  8.67it/s]
epoch 1 iter 19: train loss 3.38778. lr 5.999740e-03:  83%|████████▎ | 19/23 [00:02<00:00,  8.67it/s]
epoch 1 iter 19: train loss 3.38778. lr 5.999740e-03:  87%|████████▋ | 20/23 [00:02<00:00,  8.65it/s]
epoch 1 iter 20: train loss 3.38754. lr 5.999713e-03:  87%|████████▋ | 20/23 [00:02<00:00,  8.65it/s]
epoch 1 iter 20: train loss 3.38754. lr 5.999713e-03:  91%|█████████▏| 21/23 [00:02<00:00,  8.77it/s]
epoch 1 iter 21: train loss 3.34719. lr 5.999684e-03:  91%|█████████▏| 21/23 [00:02<00:00,  8.77it/s]
epoch 1 iter 21: train loss 3.34719. lr 5.999684e-03:  96%|█████████▌| 22/23 [00:02<00:00,  8.90it/s]
epoch 1 iter 22: train loss 3.38018. lr 5.999656e-03:  96%|█████████▌| 22/23 [00:02<00:00,  8.90it/s]
epoch 1 iter 22: train loss 3.38018. lr 5.999656e-03: 100%|██████████| 23/23 [00:02<00:00,  9.10it/s]
epoch 1 iter 22: train loss 3.38018. lr 5.999656e-03: 100%|██████████| 23/23 [00:03<00:00,  7.64it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 2 iter 0: train loss 3.37977. lr 5.999624e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 2 iter 0: train loss 3.37977. lr 5.999624e-03:   4%|▍         | 1/23 [00:00<00:03,  7.31it/s]
epoch 2 iter 1: train loss 3.38282. lr 5.999591e-03:   4%|▍         | 1/23 [00:02<00:03,  7.31it/s]
epoch 2 iter 1: train loss 3.38282. lr 5.999591e-03:   9%|▊         | 2/23 [00:02<00:24,  1.16s/it]
epoch 2 iter 2: train loss 3.37403. lr 5.999557e-03:   9%|▊         | 2/23 [00:02<00:24,  1.16s/it]
epoch 2 iter 2: train loss 3.37403. lr 5.999557e-03:  13%|█▎        | 3/23 [00:02<00:13,  1.47it/s]
epoch 2 iter 3: train loss 3.38243. lr 5.999521e-03:  13%|█▎        | 3/23 [00:02<00:13,  1.47it/s]
epoch 2 iter 3: train loss 3.38243. lr 5.999521e-03:  17%|█▋        | 4/23 [00:02<00:08,  2.18it/s]
epoch 2 iter 4: train loss 3.36917. lr 5.999484e-03:  17%|█▋        | 4/23 [00:02<00:08,  2.18it/s]
epoch 2 iter 4: train loss 3.36917. lr 5.999484e-03:  22%|██▏       | 5/23 [00:02<00:06,  2.99it/s]
